title,content
"Bank of England made ‘persistent and systematic’ errors, official admits","The Bank of England made “persistent and systematic” errors in its forecasts about inflation, one of its policymakers has said.

Swati Dhingra, an external member of the Monetary Policy Committee, was one of two officials to vote for a reduction in interest rates from 5.25pc to 5pc on Thursday. In the event, rates were kept on hold.

Ms Dhingra was speaking at a conference hosted by King’s College London following former Federal Reserve chair Ben Bernanke’s review into the Bank of England’s forecasting errors.

Inflation surged to 11.1pc in October 2022, leading the Bank of England to raise interest rates to 16-year highs.

Ms Dhingra said: “At the end of the day even these statistical models will systematically over predict or under predict ... when a turning point comes they are going to do exactly the opposite.

“Even the best forecasting models, they will always have inherent and some level of uncertainty and inaccuracy.”

Her comments come as the Bank of England’s chief economist warned about the risk of being “seduced” by data showing a slowdown in inflation after his boss said interest rate cuts will be needed soon.

Huw Pill, who voted for interest rates to remain at 5.25pc, said the Monetary Policy Committee which sets rates must make sure “that we ensure that inflation is at target on a lasting and sustainable basis”.

Mr Pill was speaking a day after Governor Andrew Bailey said that interest rate cuts will be needed and could happen faster than markets anticipate.

It comes as Britain exited recession with faster-than-expected growth at the start of the year.

Money markets traders are currently betting that there is a 60pc chance of a rate cut happening in June.

Inflation has fallen to 3.2pc and Mr Bailey said that the Bank believes inflation may already be at its 2pc target following a drop in the energy price cap.

Read the latest updates below.

06:07 PM BST
Signing off
Thanks for joining us on the Markets blog on a gloriously sunny day here in London, which saw the FTSE 100 close on a record high for a fifth straight session. Investors were cheered by the Bank of England’s dovish tone while the British economy grew more than expected in the first quarter of the year.

My colleague Chris Price will be back on Monday morning before the London markets open to report on all the latest from the City and further afield.

06:04 PM BST
How Friday became a non-working day
Fridays are the most popular day to work from home.

But the trend benefits the wealthy, reports Ben Butcher, with the figures that professionals are 18 times more likely to be at home or elsewhere than workers doing elementary jobs, according to an Office for National Statistics (ONS) survey conducted at the start of last year.

Read the full report...

05:28 PM BST
European shares close at record high amid rate cut optimism
Europe’s main stock index closed at a record high on Friday - just like the FTSE 100 - and is on track for its biggest weekly gain since late January. It came amid growing bets on interest rate cuts across the continent and a strong earnings season.

The pan-European Stoxx 600, which includes UK businesses such as Vodafone and BAE Systems, ended 0.7pc higher, with indexes in major economies Germany and France finishing at record highs.

European shares have resumed their record-breaking rally, with the Stoxx 600 notching a 3pc weekly gain, after investors took a breather in April.

The euphoria around artificial intelligence and monetary policy easing, among others, had sparked bumper gains in the region’s stocks since late 2023.

Highlighting Europe’s divergence from the US Federal Reserve and boosting equities, the Bank of England hinted at summer rate cuts and Sweden’s Riksbank delivered its first cut since 2016 earlier this week.

Minutes from the ECB’s April policy meeting showed that policymakers favoured kicking off the monetary policy easing cycle in June, while remaining confident that inflation is on track to fall back to 2pc next year."
IAG in talks to address Air Europa bid concerns,"British Airways owner IAG said on Friday it is in talks with other airlines about ceding routes in order to address EU regulators' concerns that its bid for Air Europa may reduce competition and lead to price increases.

IAG, which also owns Spanish carrier Iberia, aims to secure full control of Air Europa, but the European Commission last month warned about the impact on Spanish domestic routes as well as long-haul routes.

""Regarding Air Europa's acquisition, we continue to make progress with the European Commission and have already shared with them the potential airlines that would take over the routes renounced as part of the remedy package,"" IAG said in a statement in a call with Spanish media outlets.

It added that ""as shared before, we have received a lot of interest from different carriers and are working with Avianca, Binter, Iberojet, Ryanair, Volotea, and World2Fly as potential remedy takers both on long-haul and short-haul routes"".

IAG has until June 10 to submit remedies.

In February 2023, IAG said it had agreed to pay 400 million euros ($430.84 million) to Spanish tourism company Globalia for the 80% of Air Europa it did not already own in a bid to improve its Latin American market share, expand into Asia and allow its Madrid hub to compete with other major airports in Europe.

IAG Chief Executive Luis Gallego told analysts on Friday after reporting first-quarter earnings that the group could pull the plug on its bid for Air Europa if conditions demanded by regulators prove too cumbersome, but he said that IAG wasn't yet at that point."
"Trending tickers: TSMC, Novavax, Anglo American and IAG","TSMC (TSM)
Taiwan Semiconductor Manufacturing Company’s April revenue jumped nearly 60% percent on-year, as the firm rides a wave of sustained demand for the advanced semiconductors used in artificial intelligence (AI) hardware.

Taiwan Semiconductor Manufacturing Company Limited (TSM)View quote details
NYSE - Nasdaq Real Time Price (USD)
165.77-6.10(-3.55%)
At close:3:59PM EDT
165.69-0.08 (-0.05%)
After hours: 4:12PM EDT

Add to watchlist
1D5D1M6MYTD1Y5YMaxFull screen
The world’s largest contract chipmaker said consolidated revenues for April were approximately TWD236.02bn (£5.7bn/$7.2bn), an increase of 59.6% from April 2023. This compares with a 34.3% on-year jump in March 2024.

The company is Nvidia’s (NVDA) sole manufacturer for the most advanced training chips. TSMC also fabricates semiconductors for Apple (AAPL).

Read more: FTSE 100 LIVE: European stocks climb as UK economy escapes recession

Last month, TSMC announced its newest semiconductor process, advanced packaging, and other technologies for powering the next generation of AI innovations.

""We are entering an AI-empowered world, where artificial intelligence not only runs in data centres, but PCs, mobile devices, automobiles and even the internet of things,"" said CEO C.C. Wei.

Novavax (NVAX)
Shares in Novavax were higher in pre-market trading as the pharmaceutical said it has signed a $1.2bn (£957m) deal with French drugmaker Sanofi (SAN.PA) to co-commercialise the company’s COVID vaccine starting next year.

Novavax, Inc. (NVAX)View quote details
NasdaqGS - Nasdaq Real Time Price (USD)
13.85-1.11(-7.42%)
At close:4:00PM EDT
13.850.00 (0.00%)
After hours: 4:11PM EDT

Add to watchlist
1D5D1M6MYTD1Y5YMaxFull screen
Novavax will receive $500m in upfront payments as well as $700m in development, regulatory and launch milestones, according to a statement.

That total is roughly double Novavax’s current market cap of $627m.

Sanofi is also taking a minority equity stake of about 5% in Novavax. Novavax will benefit from a double-digit percentage of royalties from the sales of its Covid jab as well as any combined shot using its technology.

Novavax has had some turbulent times. Its market value boomed to more than $40bn at the height of the pandemic, propelled by investor excitement over its COVID shot. But it has since fallen by almost 99%.

Anglo American (AAL.L)
Shares in the miner were higher amid reports that rival Rio Tinto (RIO.L) had considered an offer for British miner Anglo American, which is now BHP’s (BHP.L) £31bn takeover target.

Anglo American plc (AAL.L)View quote details
LSE - Delayed Quote (GBp)
2,246.00-40.00(-1.75%)
At close:4:36PM BST

Add to watchlist
1D5D1M6MYTD1Y5YMaxFull screen
Rio “management had not ruled out making a play for part or all of the mining group and continued to study the day-to-day situation"", the Australian Financial Review reported.

Anglo has turned down BHP’s proposal, saying it was opportunistic and significantly undervalued the British company. Under the UK’s takeover rules, BHP has until May 22 to make a formal offer.

Read more: Bank of England holds interest rates but hints at summer cut

“Shares in Anglo American are up on a report that Rio Tinto also considered a bid following BHP’s rejected offer. M&A speculation is helping to keep Anglo shares supported at the moment,” Victoria Scholar, head of investment at Interactive Investor, said.

BHP and Rio have a close working relationship at Escondida and Resolution Copper. One option for Rio is to informally assist BHP’s bid for Anglo by acquiring the assets that BHP does not want, such as Anglo’s diamond business, AFR wrote.

Glencore is also studying options for a possible approach for Anglo, Reuters reported earlier in the month, a move that could spark a bidding war.

IAG (IAG.L)
The owner of airlines British Airways and Aer Lingus has said its earnings have soared in recent months thanks to higher sales and lower fuel costs.

International Consolidated Airlines Group S.A. (IAG.L)View quote details
LSE - Delayed Quote (GBp)
170.00-3.85(-2.21%)
At close:5:07PM BST

Add to watchlist
1D5D1M6MYTD1Y5YMaxFull screen
International Airlines Group (IAG) reported an operating profit for the first three months of the year of €68m (£58.5m), up from the €9m (£7.7m) reported this time last year.

Total revenues also jumped to €6.4bn (£5.5bn), up from €5.9bn (£5.1bn) last year, while fuel costs were about 5% lower than the previous year, due to lower average prices and more efficient aircraft deliveries.

IAG said the improved profits and sales had been driven by stronger demand across its airlines, which also include Iberia and Vueling.

It also highlighted that it was continuing to see a rebound in leisure travel."
British Airways owner IAG sees profits soar as fuel costs cool,"The owner of airlines British Airways and Aer Lingus has said its earnings have soared in recent months thanks to higher sales and lower fuel costs.

International Airlines Group (IAG) said it was continuing to see a rebound in leisure travel.

It reported an operating profit for the first three months of the year of 68 million euro (£58.5 million), up from the nine million euro (£7.7 million) reported this time last year.

Total revenues also jumped to 6.4 billion euro (£5.5 billion), up from 5.9 billion euro (£5.1 billion) last year.

IAG said the improved profits and sales had been driven by stronger demand across its airlines, which also include Iberia and Vueling.

It highlighted demand for travel between major European cities, particularly for leisure, while business travel has recovered more slowly.

But conflict in the Middle East affected flying by most of its airlines to the region.

Fuel costs were about 5% lower than the previous year, due to lower average prices and more efficient aircraft deliveries, IAG said.

But it still spent more on operating the business over the latest quarter because of the higher volume of flights.

It also said employee costs jumped by more than 14% year on year, due to staff wages being pushed up and hiring more staff for a busy summer schedule.

Luis Gallego, IAG’s chief executive, said: “Our transformation initiatives and increased demand, including over the Easter holidays, have delivered another very good set of results with improvements to both revenue and operating profit.

“Our group benefits from the strength of our core markets – North Atlantic, South Atlantic and intra-Europe – and the performance of our brands.

“We are well-positioned for the summer. The high demand for travel is a continuing trend.”"
BA-owner IAG projects strong summer after solid first quarter,"British Airways owner IAG reported a surge in first quarter earnings on Friday helped by rising demand over the Easter holiday and said it was seeing strong summer bookings.

Chief Executive Luis Gallego said the group, which also owns Iberia, Aer Lingus and Vueling airlines, had already secured more than 80% of projected bookings for the second quarter and over 40% for the third quarter.

IAG's exposure to the Middle East was very small so it hadn't seen a big impact from the conflict there, he said.

Shares in IAG rose 1.4% by 0815 GMT after the group said operating profit totalled 68 million euros ($73 million) in January-March.

That topped analysts' forecasts of 49 million euros, according to a company-compiled consensus, and compared with a profit of just 9 million euros in the same quarter of last year.

""Our transformation initiatives and increased demand, including over the Easter holidays, have delivered another very good set of results with improvement to both revenue and operating profit,"" Gallego said in a statement.

The first quarter is often weak for airlines, with fewer bookings at the start of the year.

Investors said IAG's first quarter performance showed the strength of its long-haul traffic and its success in reducing debt built up during the pandemic when airports and borders shut and planes were grounded.

RIVALS STRUGGLE

European rivals Lufthansa and Air France-KLM reported worse than expected first quarters as they struggled with a range of issues.

""Lufthansa had strikes which was the big problem. Air France-KLM had some one-offs, but IAG was still better. IAG is the higher-margin group anyway: double digit margins vs single digits at the others in general,"" Bernstein analyst Alex Irving said.

Gallego pointed to the group's smaller exposure to Asia, where traffic has recovered slowly, compared to rival European airline groups and to particularly strong results in its core markets like Southern Europe.

However, Gallego also said IAG could pull the plug on its takeover bid for Spain's Air Europa if conditions demanded by regulators prove too cumbersome, but told analysts on a call that the group wasn't yet at that point.

EU antitrust regulators warned in April that IAG's bid to secure full control of Air Europa may reduce competition and lead to price increases.

In its statement, IAG said it expected slightly higher costs this year, but that it saw 7% growth in passenger capacity in 2024.

Airlines have complained that delayed deliveries from planemakers will further constrain capacity and limit their ability to meet record demand this year.

IAG said its non-fuel unit costs increased by 3.7% in January-March from a year earlier, driven by investments in the business and the impact of wage settlements agreed in 2023."
Calculating The Intrinsic Value Of International Consolidated Airlines Group S.A. (LON:IAG),"editorial-team@simplywallst.com (Simply Wall St)
8 May 2024
In this article:

BABWF
0.00%


ICAGY
+0.23%

Key Insights
International Consolidated Airlines Group's estimated fair value is UK£1.87 based on 2 Stage Free Cash Flow to Equity

Current share price of UK£1.77 suggests International Consolidated Airlines Group is potentially trading close to its fair value

Analyst price target for IAG is €2.28, which is 22% above our fair value estimate

How far off is International Consolidated Airlines Group S.A. (LON:IAG) from its intrinsic value? Using the most recent financial data, we'll take a look at whether the stock is fairly priced by estimating the company's future cash flows and discounting them to their present value. We will use the Discounted Cash Flow (DCF) model on this occasion. There's really not all that much to it, even though it might appear quite complex.

We generally believe that a company's value is the present value of all of the cash it will generate in the future. However, a DCF is just one valuation metric among many, and it is not without flaws. Anyone interested in learning a bit more about intrinsic value should have a read of the Simply Wall St analysis model.

See our latest analysis for International Consolidated Airlines Group

Step By Step Through The Calculation
We use what is known as a 2-stage model, which simply means we have two different periods of growth rates for the company's cash flows. Generally the first stage is higher growth, and the second stage is a lower growth phase. To begin with, we have to get estimates of the next ten years of cash flows. Where possible we use analyst estimates, but when these aren't available we extrapolate the previous free cash flow (FCF) from the last estimate or reported value. We assume companies with shrinking free cash flow will slow their rate of shrinkage, and that companies with growing free cash flow will see their growth rate slow, over this period. We do this to reflect that growth tends to slow more in the early years than it does in later years.

Generally we assume that a dollar today is more valuable than a dollar in the future, so we need to discount the sum of these future cash flows to arrive at a present value estimate:

10-year free cash flow (FCF) forecast
2024

2025

2026

2027

2028

2029

2030

2031

2032

2033

Levered FCF (€, Millions)

€954.8m

€1.10b

€1.09b

€1.08b

€1.09b

€1.09b

€1.11b

€1.12b

€1.13b

€1.15b

Growth Rate Estimate Source

Analyst x8

Analyst x8

Analyst x5

Est @ -0.42%

Est @ 0.24%

Est @ 0.70%

Est @ 1.02%

Est @ 1.24%

Est @ 1.40%

Est @ 1.51%

Present Value (€, Millions) Discounted @ 11%

€859

€895

€793

€711

€641

€581

€528

€481

€439

€401

(""Est"" = FCF growth rate estimated by Simply Wall St)
Present Value of 10-year Cash Flow (PVCF) = €6.3b

The second stage is also known as Terminal Value, this is the business's cash flow after the first stage. The Gordon Growth formula is used to calculate Terminal Value at a future annual growth rate equal to the 5-year average of the 10-year government bond yield of 1.8%. We discount the terminal cash flows to today's value at a cost of equity of 11%.

Terminal Value (TV)= FCF2033 × (1 + g) ÷ (r – g) = €1.2b× (1 + 1.8%) ÷ (11%– 1.8%) = €13b

Present Value of Terminal Value (PVTV)= TV / (1 + r)10= €13b÷ ( 1 + 11%)10= €4.4b

The total value is the sum of cash flows for the next ten years plus the discounted terminal value, which results in the Total Equity Value, which in this case is €11b. To get the intrinsic value per share, we divide this by the total number of shares outstanding. Relative to the current share price of UK£1.8, the company appears about fair value at a 5.1% discount to where the stock price trades currently. The assumptions in any calculation have a big impact on the valuation, so it is better to view this as a rough estimate, not precise down to the last cent.

dcf
dcf
The Assumptions
The calculation above is very dependent on two assumptions. The first is the discount rate and the other is the cash flows. If you don't agree with these result, have a go at the calculation yourself and play with the assumptions. The DCF also does not consider the possible cyclicality of an industry, or a company's future capital requirements, so it does not give a full picture of a company's potential performance. Given that we are looking at International Consolidated Airlines Group as potential shareholders, the cost of equity is used as the discount rate, rather than the cost of capital (or weighted average cost of capital, WACC) which accounts for debt. In this calculation we've used 11%, which is based on a levered beta of 1.707. Beta is a measure of a stock's volatility, compared to the market as a whole. We get our beta from the industry average beta of globally comparable companies, with an imposed limit between 0.8 and 2.0, which is a reasonable range for a stable business.

SWOT Analysis for International Consolidated Airlines Group
Strength

Earnings growth over the past year exceeded the industry.

Debt is not viewed as a risk.

Weakness

No major weaknesses identified for IAG.

Opportunity

Annual revenue is forecast to grow faster than the British market.

Good value based on P/E ratio and estimated fair value.

Threat

Annual earnings are forecast to decline for the next 3 years.

Next Steps:
Valuation is only one side of the coin in terms of building your investment thesis, and it is only one of many factors that you need to assess for a company. The DCF model is not a perfect stock valuation tool. Instead the best use for a DCF model is to test certain assumptions and theories to see if they would lead to the company being undervalued or overvalued. For instance, if the terminal value growth rate is adjusted slightly, it can dramatically alter the overall result. For International Consolidated Airlines Group, we've compiled three essential aspects you should assess:

Risks: To that end, you should be aware of the 2 warning signs we've spotted with International Consolidated Airlines Group .
Future Earnings: How does IAG's growth rate compare to its peers and the wider market? Dig deeper into the analyst consensus number for the upcoming years by interacting with our free analyst growth expectation chart.
Other High Quality Alternatives: Do you like a good all-rounder? Explore our interactive list of high quality stocks to get an idea of what else is out there you may be missing!
PS. The Simply Wall St app conducts a discounted cash flow valuation for every stock on the LSE every day. If you want to find the calculation for other stocks just search here."
The airline giant stepping up the race for global dominance,"After a rocky few years, British Airways parent IAG is once again plotting its bid for global expansion.

With pandemic woes largely behind it, International Airlines Group (IAG) is aiming to tighten its grip on transatlantic travel with a bid for TAP Air Portugal – a deal that would boost access to Brazil’s market of 215 million people.

Bosses at IAG view TAP as the final element in a push to extend its lead over European rivals on routes to North and South America.

As a result, they are mulling participation in an upcoming auction after Portugal’s government put the flagship carrier back up for sale.

Luis Gallego, IAG’s chief executive, said in March that he’d need to “see the conditions” attached to the sale before deciding on a bid, but admitted TAP presents an “opportunity” for the business.

European airline consolidation is at a critical juncture, with IAG also seeking to acquire Air Europa of Spain, Deutsche Lufthansa bidding for Alitalia successor ITA, and Air France-KLM pursuing Scandinavian Airlines.

Should the deals all clear regulatory hurdles and TAP also find a buyer, Finnair would be the only major flag carrier to sit outside the continent’s three consolidated airline groups.

IAG is already a leading player between Europe and the US via BA’s joint venture with American Airlines, while its Iberia unit is the biggest operator of services to Spanish-speaking parts of the Americas.

However, the company was formed with consolidation in mind, adopting a structure designed to make expansionary acquisitions easier.

TAP is particularly prized for the dozen or so routes it offers to Brazil, Latin America’s largest economy and a former Portuguese colony.

Portugal first approved the sale of a majority stake last September as demand rebounded from the pandemic, drawing immediate interest from IAG.

However, that plan was put on hold following the collapse of the socialist government in November.

Spanish IAG boss Luis Gallego must convince the Portuguese government that TAP's Lisbon hub won't be overshadowed by Madrid
Spanish IAG boss Luis Gallego must convince the Portuguese government that TAP's Lisbon hub won't be overshadowed by Madrid - Nick Morrish
Victory for the Democratic Alliance coalition in a March election has now returned TAP to the top of the political agenda, with its sale deemed a priority as the new administration seeks to reduce the national debt and balance budgets.

IAG is likely to face a tussle with Lufthansa and Air France-KLM for TAP, which also serves former Portuguese territories in sub-Saharan Africa, a region where British Airways, Iberia and their partners in the Oneworld airline alliance have a limited presence.

Gallego, a Spaniard, will need to convince the Portuguese government that TAP’s Lisbon hub won’t be overshadowed by Madrid, the main base for Iberia.

The Spanish carrier helped form the earliest version of IAG via a merger with British Airways in 2011.

This has since led to IAG being registered in Madrid, although its HQ is located near Heathrow at BA’s Waterside head office. The group’s largest shareholder is Qatar Airways, with the state-backed airline boasting a 25pc stake.

TAP Air Portugal is highly sought-after for the routes it offers to Brazil, Latin America's largest economy
TAP Air Portugal is highly sought-after for the routes it offers to Brazil, Latin America's largest economy - Horacio Villalobos Corbis via Getty Images
As part of any sale, Portugal will also be eager for TAP to maintain flights to key global destinations such as New York, which are seen as vital to the economy.

In making its pitch for the business, IAG is expected to indicate how it has expanded Aer Lingus’s Dublin hub as evidence of its willingness to see smaller bases grow alongside London Heathrow and Madrid, according to industry insiders.

Aer Lingus – which was bought by IAG in 2015 – and TAP both operate fleets of Airbus A321LR jets, a single-aisle model that can cross the Atlantic from their hubs in the west of Europe and is cheaper to operate than a wide-body plane.

John Strickland, an aviation consultant and former network planner at British Airways, said an IAG takeover of TAP would make sense, though there will be some concerns around Portugal’s actions in the wake of previous privatisation attempts.

IAG looked closely at bidding for TAP almost 15 years ago but the Portuguese airline was ultimately sold to a consortium led by JetBlue founder David Neeleman, only for it to be partially renationalised following a change of government.

It was later taken fully under state control to save it from collapse when Covid halted international travel.

Strickland said: “Potential investors will need to be absolutely convinced that there won’t be interference from the government or pressure to do this or that purely for political and national reasons.”

IAG is also hoping to close the €400m purchase of Iberia rival and transatlantic specialist Air Europa
IAG is also hoping to close the €400m purchase of Iberia rival and transatlantic specialist Air Europa - BORJA SUAREZ/REUTERS
IAG, which reports quarterly earnings on Friday, is separately working to close its €400m purchase of Air Europa, a rival to Iberia in Madrid and another trans-Atlantic specialist.

This comes after the European Commission said in April that it views the deal as likely to restrict competition and push up prices for travel both within Spain and on long-haul routes.

IAG says the takeover would give it about 64pc of long-haul flights from Madrid, putting it on a par with Air France’s position in Paris and that of Lufthansa in Frankfurt.

Given the scrutiny, IAG will need to give up more slots and routes to secure approval for the transaction.

Separately, policymakers in Brussels have also extended the deadline for a decision on Lufthansa’s €325m acquisition of a 41pc stake in ITA Airways, Italy’s state carrier.

The German airline must again sweeten a package of proposed remedies to win approval.

As for the bloc’s third pending deal, Air France-KLM is awaiting the EU’s response to its November agreement to take a 20pc stake in Scandinavian Airlines as part of a $1.2bn transaction that also involves the Danish government.

SAS said it expects the investment to trigger some antitrust recommendations, though nothing that might upset the plan.

Finnair, once touted as another potential IAG target, remains independent after the closure of Russian airspace upended its strategy of feeding traffic from East Asia into Europe via Helsinki.

In terms of IAG’s finances, British Airways remains the main driver of earnings after generating just short of half of the company’s €3.5bn in operating profits last year.

Resurgent revenues since Covid – hitting €29.45bn in 2023 – have also been aided by Iberia and Aer Lingus, while the group also owns Barcelona-based discount carrier Vueling.

It is this strength in numbers that IAG hope will be enough to convince the Portuguese government of a prospective sale, which would propel the airline giant back towards its original goal of global expansion."
"Airbus says deliveries up 13% in April, reaffirms A350F timeline","Airbus delivered 61 aircraft in April, up 13% from the same month of 2023, bringing deliveries so far this year to 203, the European planemaker said on Tuesday.

An unidentified airline ordered 51 A321neo jets during the month and British Airways owner IAG reshuffled five narrow-body planes within its group, Airbus monthly data showed.

So far this year, the world's largest planemaker has sold 227 planes - or 222 after allowing for the conversions within the IAG airline group's order book.

Airbus meanwhile said there was no change in its target for entry to service of the A350 Freighter after a major leasing company questioned the development timeline.

Airbus said last year it was delaying the entry to service to 2026 from 2025. It also said separately that it was increasing the size of the plane's main cargo loading door.

Air Lease Corp Executive Chairman Steven Udvar-Hazy told analysts on Monday the design change meant more time would be needed for certification, implying possible new delays.

""We believe, based on the information we've gotten from Airbus, that the programme will be delayed, because of the certification of this new configuration on the cargo door and its effect on the fuselage and the flooring and the structure of the airframe,"" he told analysts.

Airbus said there was no change to guidance last updated in April 2023. ""We confirm the EIS (entry into service) was adjusted to 2026 back in 2023,"" a spokesperson said.

An Airbus slide presented to media at the Singapore Airshow in February suggested the entry to service would be towards the latter half of 2026, with flight tests spanning the second half of 2025 and the first half of 2026."
Are Transportation Stocks Lagging GATX (GATX) This Year?,"The Transportation group has plenty of great stocks, but investors should always be looking for companies that are outperforming their peers. Has Gatx (GATX) been one of those stocks this year? A quick glance at the company's year-to-date performance in comparison to the rest of the Transportation sector should help us answer this question.

Gatx is a member of the Transportation sector. This group includes 132 individual stocks and currently holds a Zacks Sector Rank of #12. The Zacks Sector Rank considers 16 different sector groups. The average Zacks Rank of the individual stocks within the groups is measured, and the sectors are listed from best to worst.

The Zacks Rank is a proven system that emphasizes earnings estimates and estimate revisions, highlighting a variety of stocks that are displaying the right characteristics to beat the market over the next one to three months. Gatx is currently sporting a Zacks Rank of #2 (Buy).

The Zacks Consensus Estimate for GATX's full-year earnings has moved 0.3% higher within the past quarter. This shows that analyst sentiment has improved and the company's earnings outlook is stronger.

According to our latest data, GATX has moved about 6.5% on a year-to-date basis. Meanwhile, the Transportation sector has returned an average of -1.2% on a year-to-date basis. This means that Gatx is outperforming the sector as a whole this year.

Another stock in the Transportation sector, International Consolidated Airlines Group SA (ICAGY), has outperformed the sector so far this year. The stock's year-to-date return is 13.9%.

Over the past three months, International Consolidated Airlines Group SA's consensus EPS estimate for the current year has increased 3.9%. The stock currently has a Zacks Rank #1 (Strong Buy).

Looking more specifically, Gatx belongs to the Transportation - Equipment and Leasing industry, a group that includes 9 individual stocks and currently sits at #21 in the Zacks Industry Rank. This group has gained an average of 18.7% so far this year, so GATX is slightly underperforming its industry in this area.

On the other hand, International Consolidated Airlines Group SA belongs to the Transportation - Airline industry. This 32-stock industry is currently ranked #149. The industry has moved +17.6% year to date.

Investors with an interest in Transportation stocks should continue to track Gatx and International Consolidated Airlines Group SA. These stocks will be looking to continue their solid performance."
"EU antitrust regulators warn IAG, Air Europa deal may reduce competition","EU antitrust regulators on Friday warned that British Airways owner IAG's bid to secure full control of Air Europa may reduce competition and lead to price increases.

The European Commission singled out the impact on Spanish domestic routes and short-haul and long-haul routes in a statement of objections to the companies, confirming a Reuters story earlier this month.

""The Commission is concerned that customers may face increased prices and/or decreased quality of services after the transaction,"" the EU competition watchdog said in a statement.

IAG, which also owns Spanish carrier Iberia, is prepared to give up more than 40% of Air Europa's 2023 flights to other airlines to address the European Commission's concerns, IAG CEO Luis Gallego said in a statement.

""Likewise, we commit to ensuring that no route is operated exclusively by Iberia and Air Europa. We remain committed to closing this transaction as quickly as possible in 2024,"" he added.

A person with direct knowledge of the matter said earlier that IAG was also ready to give feeder traffic, slots, planes, crew, maintenance, ground handling and existing customer bookings on all divested routes to rivals.

It is also prepared to give rivals acquiring its long-haul routes access to feeder traffic in Europe, the person said.

The package is the one submitted to the Commission in February but now modified with more capacity to be divested and other additions, the source said.

The Commission said IAG could submit remedies at any time of the proceedings until the remedy deadline, which is currently set for June 10 this year.

Air Europa, headquartered in Spain, and its wholly owned subsidiaries, constitute the airline division of Spanish tourism company Globalia."
Airlines with low-cost reputations ‘not always cheapest because of extras’,"Airlines that boast about low prices can be more expensive than their rivals when extra costs are added to headline fares, according to a new study.

British Airways was cheaper than Ryanair and Wizz Air on two out of three routes analysed, according to consumer group Which?

Researchers conducted a snapshot price analysis for the cheapest return flights from London airports to Malaga, Athens and Naples with Ryanair, Wizz Air, British Airways, Jet2 and easyJet booked in December 2023 for travel on weekends this month.

They included the price of taking a cabin bag as hand luggage.

The cost of seat selection was added for Ryanair and Wizz Air as a previous survey indicated they are the airlines least likely to automatically seat travel companions together.

The study found that while budget airlines often had the cheapest headline fares, Ryanair and Wizz Air failed to return the lowest price on any occasion when the cost of a cabin bag and seat selection – always included in British Airways and Jet2 fares – were taken into account.

British Airways was found to have the lowest total price for Naples flights, at £120.

That compares with £198 with Jet2, £185 with Wizz Air, £132 with Ryanair and £126 with easyJet.

British Airways was the second cheapest airline, behind easyJet, for Malaga flights, but the most expensive for trips to Athens.

Baggage and seat selection accounted for an average of £113 across the three routes with Wizz Air, £57 with Ryanair and £52 with easyJet.

Wizz Air’s cabin bag fee includes priority boarding.

Unavoidable hidden charges for online consumers – or “drip pricing” – is to be banned under the Digital Markets, Competition and Consumers Bill progressing through Parliament.

Optional extras are not included in the legislation, but Which? believes fees for seat selection on flights should be covered.

Rory Boland, editor of magazine Which? Travel, said: “It’s easy to assume that budget airlines like Ryanair and Wizz Air are always the cheapest option.

“But if you want to sit next to your kids or take more than a few items of clothes with you, then you’ll increasingly find better prices elsewhere.

“Next time you’re booking a flight, look beyond the headline fare and factor in the cost of extras you need, before you book.”

A Ryanair spokesman said: “This is more fake news from Which?.

“Ryanair has the lowest fares of any airline in Europe and additional ancillary products, such as extra luggage, are entirely optional for customers.”

A spokeswoman for Wizz Air said its “average price” for cabin baggage and priority boarding is “much lower” than the one found by Which?

She went on: “As an ultra-low-cost carrier, we allow passengers to choose which services they wish to purchase so that we can offer the most affordable travel opportunities.

“Optional add-ons are not required to fly, and we believe that customers should be offered the choice and flexibility to choose the right products for them.”"
